Listening to connections on 172.31.41.11:6001
Connected to 54.147.189.19:6000
74ms
67ms
1355ms
1405ms
1305ms
1004ms
1105ms
1055ms
754ms
253ms
454ms
905ms
955ms
1256ms
655ms
1206ms
204ms
104ms
304ms
605ms
555ms
405ms
705ms
1157ms
806ms
54ms
355ms
505ms
154ms
856ms
Req_ID: 361 not received, duration: 16930ms
Req_ID: 527 not received, duration: 8611ms
Req_ID: 511 not received, duration: 9413ms
Req_ID: 561 not received, duration: 6907ms
Req_ID: 461 not received, duration: 11919ms
Req_ID: 325 not received, duration: 18737ms
Req_ID: 182 not received, duration: 25902ms
Req_ID: 465 not received, duration: 11718ms
Req_ID: 563 not received, duration: 6807ms
Req_ID: 387 not received, duration: 15627ms
Req_ID: 300 not received, duration: 19990ms
Req_ID: 342 not received, duration: 17882ms
Req_ID: 515 not received, duration: 9213ms
Req_ID: 288 not received, duration: 20591ms
Req_ID: 483 not received, duration: 10816ms
Req_ID: 35 not received, duration: 33269ms
Req_ID: 79 not received, duration: 31064ms
Req_ID: 303 not received, duration: 19839ms
Req_ID: 385 not received, duration: 15727ms
Req_ID: 433 not received, duration: 13322ms
Req_ID: 180 not received, duration: 26003ms
Req_ID: 171 not received, duration: 26453ms
Req_ID: 51 not received, duration: 32468ms
Req_ID: 414 not received, duration: 14274ms
Req_ID: 251 not received, duration: 22445ms
Req_ID: 209 not received, duration: 24550ms
Req_ID: 191 not received, duration: 25451ms
Req_ID: 289 not received, duration: 20541ms
Req_ID: 469 not received, duration: 11518ms
Req_ID: 577 not received, duration: 6106ms
Req_ID: 184 not received, duration: 25802ms
Req_ID: 198 not received, duration: 25101ms
Req_ID: 218 not received, duration: 24099ms
Req_ID: 259 not received, duration: 22045ms
Req_ID: 247 not received, duration: 22646ms
Req_ID: 327 not received, duration: 18637ms
Req_ID: 367 not received, duration: 16630ms
Req_ID: 48 not received, duration: 32618ms
Req_ID: 555 not received, duration: 7209ms
Req_ID: 119 not received, duration: 29059ms
Req_ID: 129 not received, duration: 28558ms
Req_ID: 269 not received, duration: 21543ms
Req_ID: 188 not received, duration: 25602ms
Req_ID: 271 not received, duration: 21443ms
Req_ID: 158 not received, duration: 27105ms
Req_ID: 223 not received, duration: 23848ms
Req_ID: 323 not received, duration: 18837ms
Req_ID: 71 not received, duration: 31465ms
Req_ID: 522 not received, duration: 8862ms
Req_ID: 185 not received, duration: 25752ms
Req_ID: 37 not received, duration: 33169ms
Req_ID: 565 not received, duration: 6707ms
Req_ID: 473 not received, duration: 11318ms
Req_ID: 452 not received, duration: 12370ms
Req_ID: 330 not received, duration: 18485ms
Req_ID: 200 not received, duration: 25001ms
Req_ID: 364 not received, duration: 16780ms
Req_ID: 232 not received, duration: 23397ms
Req_ID: 389 not received, duration: 15527ms
Req_ID: 494 not received, duration: 10265ms
Req_ID: 311 not received, duration: 19439ms
Req_ID: 122 not received, duration: 28909ms
Req_ID: 69 not received, duration: 31566ms
Req_ID: 133 not received, duration: 28358ms
Req_ID: 121 not received, duration: 28959ms
Req_ID: 277 not received, duration: 21143ms
Req_ID: 487 not received, duration: 10616ms
Req_ID: 280 not received, duration: 20992ms
Req_ID: 62 not received, duration: 31916ms
Req_ID: 243 not received, duration: 22846ms
Req_ID: 333 not received, duration: 18334ms
Req_ID: 386 not received, duration: 15678ms
Req_ID: 427 not received, duration: 13623ms
Req_ID: 436 not received, duration: 13172ms
Req_ID: 262 not received, duration: 21894ms
Req_ID: 120 not received, duration: 29009ms
Req_ID: 464 not received, duration: 11769ms
Req_ID: 179 not received, duration: 26053ms
Req_ID: 268 not received, duration: 21594ms
Req_ID: 372 not received, duration: 16379ms
Req_ID: 404 not received, duration: 14776ms
Req_ID: 484 not received, duration: 10767ms
Req_ID: 377 not received, duration: 16129ms
Req_ID: 118 not received, duration: 29110ms
Req_ID: 105 not received, duration: 29761ms
Req_ID: 207 not received, duration: 24650ms
Req_ID: 554 not received, duration: 7259ms
Req_ID: 94 not received, duration: 30312ms
Req_ID: 225 not received, duration: 23748ms
Req_ID: 591 not received, duration: 5405ms
Req_ID: 553 not received, duration: 7309ms
Req_ID: 593 not received, duration: 5304ms
Req_ID: 306 not received, duration: 19689ms
Req_ID: 597 not received, duration: 5103ms
Req_ID: 467 not received, duration: 11619ms
Req_ID: 449 not received, duration: 12521ms
Req_ID: 378 not received, duration: 16079ms
Req_ID: 541 not received, duration: 7910ms
Req_ID: 353 not received, duration: 17331ms
Req_ID: 537 not received, duration: 8111ms
Req_ID: 152 not received, duration: 27406ms
Req_ID: 305 not received, duration: 19740ms
Req_ID: 571 not received, duration: 6407ms
Req_ID: 240 not received, duration: 22997ms
Req_ID: 488 not received, duration: 10566ms
Req_ID: 489 not received, duration: 10516ms
Req_ID: 550 not received, duration: 7459ms
Req_ID: 313 not received, duration: 19339ms
Req_ID: 544 not received, duration: 7760ms
Req_ID: 579 not received, duration: 6006ms
Req_ID: 72 not received, duration: 31415ms
Req_ID: 208 not received, duration: 24600ms
Req_ID: 426 not received, duration: 13673ms
Req_ID: 50 not received, duration: 32518ms
Req_ID: 221 not received, duration: 23949ms
Req_ID: 159 not received, duration: 27055ms
Req_ID: 486 not received, duration: 10666ms
Req_ID: 546 not received, duration: 7660ms
Req_ID: 394 not received, duration: 15277ms
Req_ID: 264 not received, duration: 21794ms
Req_ID: 220 not received, duration: 23999ms
Req_ID: 366 not received, duration: 16680ms
Req_ID: 422 not received, duration: 13874ms
Req_ID: 39 not received, duration: 33069ms
Req_ID: 524 not received, duration: 8762ms
Req_ID: 111 not received, duration: 29461ms
Req_ID: 521 not received, duration: 8913ms
Req_ID: 75 not received, duration: 31265ms
Req_ID: 68 not received, duration: 31616ms
Req_ID: 261 not received, duration: 21944ms
Req_ID: 229 not received, duration: 23548ms
Req_ID: 139 not received, duration: 28057ms
Req_ID: 349 not received, duration: 17532ms
Req_ID: 423 not received, duration: 13823ms
Req_ID: 346 not received, duration: 17682ms
Req_ID: 431 not received, duration: 13423ms
Req_ID: 128 not received, duration: 28609ms
Req_ID: 411 not received, duration: 14425ms
Req_ID: 373 not received, duration: 16329ms
Req_ID: 466 not received, duration: 11669ms
Req_ID: 276 not received, duration: 21193ms
Req_ID: 332 not received, duration: 18384ms
Req_ID: 245 not received, duration: 22746ms
Req_ID: 36 not received, duration: 33220ms
Req_ID: 481 not received, duration: 10917ms
Req_ID: 252 not received, duration: 22395ms
Req_ID: 165 not received, duration: 26754ms
Req_ID: 380 not received, duration: 15978ms
Req_ID: 30 not received, duration: 33520ms
Req_ID: 592 not received, duration: 5354ms
Req_ID: 117 not received, duration: 29160ms
Req_ID: 197 not received, duration: 25151ms
Req_ID: 556 not received, duration: 7159ms
Req_ID: 492 not received, duration: 10366ms
Req_ID: 454 not received, duration: 12270ms
Req_ID: 238 not received, duration: 23097ms
Req_ID: 498 not received, duration: 10065ms
Req_ID: 38 not received, duration: 33119ms
Req_ID: 552 not received, duration: 7359ms
Req_ID: 400 not received, duration: 14976ms
Req_ID: 81 not received, duration: 30964ms
Req_ID: 93 not received, duration: 30363ms
Req_ID: 204 not received, duration: 24800ms
Req_ID: 63 not received, duration: 31866ms
Req_ID: 479 not received, duration: 11017ms
Req_ID: 519 not received, duration: 9013ms
Req_ID: 596 not received, duration: 5153ms
Req_ID: 84 not received, duration: 30814ms
Req_ID: 112 not received, duration: 29410ms
Req_ID: 528 not received, duration: 8562ms
Req_ID: 359 not received, duration: 17031ms
Req_ID: 542 not received, duration: 7860ms
Req_ID: 108 not received, duration: 29611ms
Req_ID: 567 not received, duration: 6607ms
Req_ID: 472 not received, duration: 11368ms
Req_ID: 95 not received, duration: 30262ms
Req_ID: 265 not received, duration: 21744ms
Req_ID: 298 not received, duration: 20090ms
Req_ID: 468 not received, duration: 11569ms
Req_ID: 195 not received, duration: 25251ms
Req_ID: 190 not received, duration: 25502ms
Req_ID: 317 not received, duration: 19138ms
Req_ID: 586 not received, duration: 5655ms
Req_ID: 438 not received, duration: 13072ms
Req_ID: 143 not received, duration: 27857ms
Req_ID: 181 not received, duration: 25953ms
Req_ID: 256 not received, duration: 22195ms
Req_ID: 421 not received, duration: 13924ms
Req_ID: 113 not received, duration: 29360ms
Req_ID: 73 not received, duration: 31365ms
Req_ID: 357 not received, duration: 17131ms
Req_ID: 441 not received, duration: 12922ms
Req_ID: 214 not received, duration: 24299ms
Req_ID: 141 not received, duration: 27957ms
Req_ID: 548 not received, duration: 7560ms
Req_ID: 374 not received, duration: 16279ms
Req_ID: 206 not received, duration: 24700ms
Req_ID: 471 not received, duration: 11418ms
Req_ID: 70 not received, duration: 31516ms
Req_ID: 192 not received, duration: 25402ms
Req_ID: 442 not received, duration: 12872ms
