Listening to connections on 172.31.21.227:6001
Connected to 3.96.160.85:6000
911ms
560ms
861ms
761ms
811ms
510ms
660ms
711ms
460ms
410ms
310ms
611ms
260ms
160ms
360ms
210ms
Req_ID: 594 not received, duration: 5253ms
Req_ID: 92 not received, duration: 30404ms
Req_ID: 42 not received, duration: 32910ms
Req_ID: 40 not received, duration: 33010ms
Req_ID: 181 not received, duration: 25946ms
Req_ID: 330 not received, duration: 18481ms
Req_ID: 68 not received, duration: 31607ms
Req_ID: 398 not received, duration: 15074ms
Req_ID: 69 not received, duration: 31557ms
Req_ID: 519 not received, duration: 9012ms
Req_ID: 578 not received, duration: 6055ms
Req_ID: 120 not received, duration: 29002ms
Req_ID: 366 not received, duration: 16678ms
Req_ID: 458 not received, duration: 12069ms
Req_ID: 33 not received, duration: 33361ms
Req_ID: 112 not received, duration: 29403ms
Req_ID: 322 not received, duration: 18882ms
Req_ID: 367 not received, duration: 16628ms
Req_ID: 487 not received, duration: 10616ms
Req_ID: 588 not received, duration: 5554ms
Req_ID: 339 not received, duration: 18031ms
Req_ID: 180 not received, duration: 25997ms
Req_ID: 344 not received, duration: 17780ms
Req_ID: 456 not received, duration: 12169ms
Req_ID: 415 not received, duration: 14223ms
Req_ID: 279 not received, duration: 21037ms
Req_ID: 531 not received, duration: 8411ms
Req_ID: 536 not received, duration: 8161ms
Req_ID: 167 not received, duration: 26648ms
Req_ID: 257 not received, duration: 22139ms
Req_ID: 382 not received, duration: 15876ms
Req_ID: 316 not received, duration: 19183ms
Req_ID: 491 not received, duration: 10416ms
Req_ID: 304 not received, duration: 19784ms
Req_ID: 226 not received, duration: 23692ms
Req_ID: 46 not received, duration: 32710ms
Req_ID: 89 not received, duration: 30555ms
Req_ID: 271 not received, duration: 21438ms
Req_ID: 96 not received, duration: 30205ms
Req_ID: 312 not received, duration: 19384ms
Req_ID: 375 not received, duration: 16227ms
Req_ID: 434 not received, duration: 13271ms
Req_ID: 333 not received, duration: 18332ms
Req_ID: 149 not received, duration: 27550ms
Req_ID: 217 not received, duration: 24143ms
Req_ID: 327 not received, duration: 18632ms
Req_ID: 472 not received, duration: 11368ms
Req_ID: 387 not received, duration: 15626ms
Req_ID: 379 not received, duration: 16027ms
Req_ID: 250 not received, duration: 22490ms
Req_ID: 589 not received, duration: 5504ms
Req_ID: 182 not received, duration: 25897ms
Req_ID: 288 not received, duration: 20586ms
Req_ID: 157 not received, duration: 27149ms
Req_ID: 386 not received, duration: 15676ms
Req_ID: 176 not received, duration: 26197ms
Req_ID: 397 not received, duration: 15125ms
Req_ID: 196 not received, duration: 25195ms
Req_ID: 453 not received, duration: 12320ms
Req_ID: 125 not received, duration: 28752ms
Req_ID: 347 not received, duration: 17630ms
Req_ID: 345 not received, duration: 17730ms
Req_ID: 62 not received, duration: 31908ms
Req_ID: 273 not received, duration: 21338ms
Req_ID: 499 not received, duration: 10015ms
Req_ID: 537 not received, duration: 8111ms
Req_ID: 104 not received, duration: 29804ms
Req_ID: 352 not received, duration: 17380ms
Req_ID: 590 not received, duration: 5454ms
Req_ID: 562 not received, duration: 6857ms
Req_ID: 368 not received, duration: 16578ms
Req_ID: 20 not received, duration: 34012ms
Req_ID: 185 not received, duration: 25747ms
Req_ID: 389 not received, duration: 15526ms
Req_ID: 431 not received, duration: 13422ms
Req_ID: 518 not received, duration: 9063ms
Req_ID: 324 not received, duration: 18783ms
Req_ID: 296 not received, duration: 20185ms
Req_ID: 495 not received, duration: 10215ms
Req_ID: 61 not received, duration: 31959ms
Req_ID: 582 not received, duration: 5855ms
Req_ID: 115 not received, duration: 29253ms
Req_ID: 26 not received, duration: 33712ms
Req_ID: 498 not received, duration: 10065ms
Req_ID: 534 not received, duration: 8262ms
Req_ID: 162 not received, duration: 26899ms
Req_ID: 539 not received, duration: 8011ms
Req_ID: 175 not received, duration: 26248ms
Req_ID: 260 not received, duration: 21989ms
Req_ID: 376 not received, duration: 16177ms
Req_ID: 178 not received, duration: 26097ms
Req_ID: 528 not received, duration: 8562ms
Req_ID: 535 not received, duration: 8211ms
Req_ID: 313 not received, duration: 19334ms
Req_ID: 529 not received, duration: 8512ms
Req_ID: 64 not received, duration: 31808ms
Req_ID: 334 not received, duration: 18282ms
Req_ID: 426 not received, duration: 13672ms
Req_ID: 305 not received, duration: 19735ms
Req_ID: 492 not received, duration: 10366ms
Req_ID: 190 not received, duration: 25496ms
Req_ID: 41 not received, duration: 32960ms
Req_ID: 512 not received, duration: 9364ms
Req_ID: 552 not received, duration: 7358ms
Req_ID: 349 not received, duration: 17530ms
Req_ID: 75 not received, duration: 31257ms
Req_ID: 369 not received, duration: 16528ms
Req_ID: 493 not received, duration: 10316ms
Req_ID: 362 not received, duration: 16879ms
Req_ID: 276 not received, duration: 21188ms
Req_ID: 243 not received, duration: 22841ms
Req_ID: 233 not received, duration: 23342ms
Req_ID: 402 not received, duration: 14875ms
Req_ID: 44 not received, duration: 32810ms
Req_ID: 216 not received, duration: 24193ms
Req_ID: 247 not received, duration: 22640ms
Req_ID: 123 not received, duration: 28852ms
Req_ID: 269 not received, duration: 21538ms
Req_ID: 275 not received, duration: 21238ms
Req_ID: 171 not received, duration: 26448ms
Req_ID: 335 not received, duration: 18232ms
Req_ID: 86 not received, duration: 30706ms
Req_ID: 131 not received, duration: 28452ms
Req_ID: 263 not received, duration: 21839ms
Req_ID: 285 not received, duration: 20737ms
Req_ID: 67 not received, duration: 31658ms
Req_ID: 337 not received, duration: 18131ms
Req_ID: 427 not received, duration: 13622ms
Req_ID: 477 not received, duration: 11117ms
Req_ID: 560 not received, duration: 6957ms
Req_ID: 298 not received, duration: 20085ms
Req_ID: 356 not received, duration: 17179ms
Req_ID: 383 not received, duration: 15827ms
Req_ID: 90 not received, duration: 30506ms
Req_ID: 141 not received, duration: 27951ms
Req_ID: 553 not received, duration: 7308ms
Req_ID: 168 not received, duration: 26598ms
Req_ID: 457 not received, duration: 12119ms
Req_ID: 399 not received, duration: 15025ms
Req_ID: 467 not received, duration: 11618ms
Req_ID: 488 not received, duration: 10566ms
Req_ID: 236 not received, duration: 23192ms
Req_ID: 16 not received, duration: 34213ms
Req_ID: 129 not received, duration: 28552ms
Req_ID: 173 not received, duration: 26348ms
Req_ID: 203 not received, duration: 24845ms
Req_ID: 85 not received, duration: 30756ms
Req_ID: 343 not received, duration: 17831ms
Req_ID: 433 not received, duration: 13322ms
Req_ID: 561 not received, duration: 6907ms
Req_ID: 293 not received, duration: 20336ms
Req_ID: 325 not received, duration: 18733ms
Req_ID: 511 not received, duration: 9414ms
Req_ID: 19 not received, duration: 34063ms
Req_ID: 169 not received, duration: 26548ms
Req_ID: 513 not received, duration: 9314ms
Req_ID: 286 not received, duration: 20687ms
Req_ID: 516 not received, duration: 9163ms
Req_ID: 256 not received, duration: 22190ms
Req_ID: 229 not received, duration: 23542ms
Req_ID: 228 not received, duration: 23592ms
Req_ID: 372 not received, duration: 16378ms
Req_ID: 587 not received, duration: 5604ms
Req_ID: 174 not received, duration: 26298ms
Req_ID: 252 not received, duration: 22390ms
Req_ID: 283 not received, duration: 20837ms
Req_ID: 211 not received, duration: 24444ms
Req_ID: 449 not received, duration: 12520ms
Req_ID: 547 not received, duration: 7610ms
Req_ID: 405 not received, duration: 14724ms
Req_ID: 28 not received, duration: 33612ms
Req_ID: 509 not received, duration: 9514ms
Req_ID: 146 not received, duration: 27700ms
Req_ID: 209 not received, duration: 24544ms
Req_ID: 88 not received, duration: 30606ms
Req_ID: 198 not received, duration: 25095ms
Req_ID: 227 not received, duration: 23643ms
Req_ID: 301 not received, duration: 19935ms
Req_ID: 307 not received, duration: 19635ms
Req_ID: 187 not received, duration: 25646ms
Req_ID: 384 not received, duration: 15777ms
Req_ID: 437 not received, duration: 13121ms
Req_ID: 510 not received, duration: 9464ms
Req_ID: 390 not received, duration: 15476ms
Req_ID: 253 not received, duration: 22340ms
Req_ID: 482 not received, duration: 10867ms
Req_ID: 255 not received, duration: 22240ms
Req_ID: 361 not received, duration: 16929ms
Req_ID: 566 not received, duration: 6657ms
Req_ID: 596 not received, duration: 5153ms
Req_ID: 143 not received, duration: 27851ms
Req_ID: 374 not received, duration: 16278ms
Req_ID: 274 not received, duration: 21288ms
Req_ID: 370 not received, duration: 16478ms
Req_ID: 476 not received, duration: 11168ms
Req_ID: 500 not received, duration: 9965ms
Req_ID: 597 not received, duration: 5103ms
Req_ID: 568 not received, duration: 6556ms
Req_ID: 84 not received, duration: 30806ms
Req_ID: 354 not received, duration: 17280ms
Req_ID: 130 not received, duration: 28502ms
Req_ID: 221 not received, duration: 23943ms
Req_ID: 208 not received, duration: 24594ms
Req_ID: 423 not received, duration: 13823ms
Req_ID: 25 not received, duration: 33762ms
Req_ID: 189 not received, duration: 25546ms
Req_ID: 461 not received, duration: 11919ms
Req_ID: 506 not received, duration: 9665ms
Req_ID: 551 not received, duration: 7408ms
Req_ID: 29 not received, duration: 33562ms
Req_ID: 440 not received, duration: 12971ms
