Listening to connections on 172.31.25.220:6001
Connected to 54.214.191.51:6000
246ms
148ms
200ms
160ms
1101ms
702ms
603ms
753ms
1304ms
1256ms
1006ms
455ms
1071ms
1422ms
1474ms
924ms
273ms
975ms
424ms
223ms
324ms
374ms
1176ms
825ms
675ms
1377ms
1226ms
575ms
525ms
876ms
Req_ID: 545 not received, duration: 7706ms
Req_ID: 251 not received, duration: 22436ms
Req_ID: 342 not received, duration: 17877ms
Req_ID: 66 not received, duration: 31704ms
Req_ID: 567 not received, duration: 6604ms
Req_ID: 310 not received, duration: 19480ms
Req_ID: 288 not received, duration: 20582ms
Req_ID: 45 not received, duration: 32756ms
Req_ID: 93 not received, duration: 30351ms
Req_ID: 435 not received, duration: 13218ms
Req_ID: 505 not received, duration: 9710ms
Req_ID: 55 not received, duration: 32255ms
Req_ID: 431 not received, duration: 13418ms
Req_ID: 390 not received, duration: 15472ms
Req_ID: 43 not received, duration: 32857ms
Req_ID: 50 not received, duration: 32506ms
Req_ID: 174 not received, duration: 26294ms
Req_ID: 443 not received, duration: 12817ms
Req_ID: 164 not received, duration: 26795ms
Req_ID: 250 not received, duration: 22487ms
Req_ID: 413 not received, duration: 14320ms
Req_ID: 97 not received, duration: 30151ms
Req_ID: 553 not received, duration: 7306ms
Req_ID: 584 not received, duration: 5753ms
Req_ID: 403 not received, duration: 14821ms
Req_ID: 344 not received, duration: 17777ms
Req_ID: 130 not received, duration: 28498ms
Req_ID: 117 not received, duration: 29150ms
Req_ID: 382 not received, duration: 15873ms
Req_ID: 131 not received, duration: 28448ms
Req_ID: 107 not received, duration: 29650ms
Req_ID: 148 not received, duration: 27597ms
Req_ID: 363 not received, duration: 16825ms
Req_ID: 245 not received, duration: 22737ms
Req_ID: 140 not received, duration: 27997ms
Req_ID: 497 not received, duration: 10112ms
Req_ID: 285 not received, duration: 20733ms
Req_ID: 99 not received, duration: 30051ms
Req_ID: 191 not received, duration: 25443ms
Req_ID: 355 not received, duration: 17226ms
Req_ID: 513 not received, duration: 9310ms
Req_ID: 82 not received, duration: 30903ms
Req_ID: 507 not received, duration: 9611ms
Req_ID: 401 not received, duration: 14922ms
Req_ID: 256 not received, duration: 22187ms
Req_ID: 595 not received, duration: 5202ms
Req_ID: 221 not received, duration: 23940ms
Req_ID: 525 not received, duration: 8709ms
Req_ID: 200 not received, duration: 24992ms
